quote,poet name,poem title,published in
"there is no moment of regret
and death cannot be undone
like a zipper by a tug.",Chandran Nair,if i am cynical blame the sun,once the horsemen and other poems
"what can words say to your heart
that it does not already know?",Chandran Nair,raga,after the hard hours this rian
"Yet he might still win
after all, the big
sweet ever after.",Christine Chia,The Law of Second Marriages,The Law of Second Marriages
"Is the last leaf falling? I ask myself.
There is no one left now, except myself.",Christine Chia,The Last Leaf (A Ghazal),Separation: a history
"We stop when we reach a world
where no person or building may
fall at the spectacle of our embrace.
I think we are almost there.",Cyril Wong,Untitled,oneiros
"For freedom to move, loosen the ropes
of language. Names fall off their hinges.",Cyril Wong,Satori Blues,Satori Blues
apples in a poem are not edible,Cyril Wong,The Apples,"Straw, Sticks, Brick"
"when all the island is a kiln
and we return to vessels, our mouths open
like parched pots",Daren Shiau,Four Seasons,Peninsular: Archipelagos and Other Islands
Not blacker though as your brief and sudden smile as I mention his name: a rupture of sunflowers.,Daren Shiau,Picking,Velouria
"the pages like blades of grass
in death are given new birth",David Leo,Qing Ming,iDENTiTY
"and I want to say Nagercoil like it is mine yet I can't,
I only speak somebody else's language.",Deborah Emmanuel,Nagercoil,When I Giggle in My Sleep
"It was a song like
uoy evol I, uoy evol I ah
uoy evol I, uoy evol I ahii",Deborah Emmanuel,I love you,When I Giggle in My Sleep
"“Reach the foot of the water-logged mountain in Montenegro, and there, a box poem at page bottom, left and right of centre.”",Desmond Kon Zhicheng-Mingdé,A Koan Catalogue,I Didn't Know Mani was a Conceptualist
"a self
no more distinct than this sanzen,
             an epiphany, its fire and air no more white
than the vast country of like minds",Desmond Kon Zhicheng-Mingdé,Seated Between Kensho and Numinosity: A Sestina,FOODPORN cum Maundy Thursday
"This book is not written in iambs.
This book is for the non-reader of poems.
This book is for the reader who thinks this is prose",Desmond Kon Zhicheng-Mingdé,intimations,The Wrong/Wrung Side of Love
"What author? I asked.
The one who writes everything.
The one who writes in everything.",Desmond Kon Zhicheng-Mingdé,synecdoche,The Wrong/Wrung Side of Love
"Forged of the jungle, there is a dull desire
emerging from disquietness of ancient trees.
I raise my raven head and roar.",Eddie Tay,remnants,remnants
"I am a camera
hunting for metaphors.",Eddie Tay,The Mental Life of Cities,The Mental Life of Cities
"Is an economy of rats possible
or do we need casinos?

",Eddie Tay,The Mental Life of Cities,The Mental Life of Cities
"Within the storm, a room;
Within the room a special quiet:
Within the softly gradual point
Intersecting selves reflate.",Edwin Thumboo,Evening,A Third Map
"I want to taste sharp the petai
Straight from the curling pod
To hold the village in my mouth.",Edwin Thumboo,Renovation,A Third Map
We know your language.,Edwin Thumboo,May-54,Ulysses by the Merlion
"Not say I don’t appreciate poetry;
But you speak of poetry which have no rhyme...",Ee Tiang Hong,Song of a Young Malayan,I of the Many Faces
"But should you read these lines,
and if they move,
I would you share their longing
with a friend, our people,
and all who love.",Ee Tiang Hong,Epilogue,Tranquerah
"World doesn’t owe us poets
a reading.",Ee Tiang Hong,Epilogue,Tranquerah
"distant birds
dewaver chui-chui, dewaver.",Eleanor Wong,Quiet,y grec
"(they took longer getting to the where;
and he too favoured the in-between)",Eleanor Wong,Brain Limits,Life-Science
Unwrap a dumpling in my sweaty palm,Eric Valles,Migrant's Love Song to an Adopted Home,A World in Transit
"What they long for
Is to wed with air,
To embrace the state of song.",Eric Valles,Independence Day in Hong Lim Park,After the Fall: dirges among ruins
"It is to run the dog inside,
scribble the evening
into the sky and park
your tree between
the granted and the free.",Felix Cheong,What is It to Write,Temptation and other poems
"Father, my words kneel before you,
having nowhere to go.",Felix Cheong,Meditations,Broken by the Rain
"I’ve kept
the word, but not outlived its sentence.",Felix Cheong,The Word,Sudden in Youth: New and Selected Poems
"Everything will
be apple
for the day.",Gilbert Koh,Apples,Two Baby Hands
"A world within a world,
Whole as a blue
Balloon idling in the air.",Goh Poh Seng,Lines from Batu Ferringhi,Lines from Batu Ferringhi
"
If they do,
they may be part of
a solution.",Goh Poh Seng,"Lately, The Going's Hard",As Though the Gods Love Us
"At night it's curry beef for supper
Chewing the cud
In the shadow of the uncertain
Mushroom.",Goh Sin Tub,Mood,Moments in a Singapore Life
"Going for good is hard,
going for bad harder,
hardest of all:
don’t-know-what for sure.",Goh Sin Tub,Going,Moments in a Singapore Life
"These are the last days of a glorified past.
Age has crept up on beast and beauty.",Grace Chia,The Last Headman of Ubin,Cordelia
"The Merlion cried, My son,
my son, I spit for you!",Gwee Li Sui,Propitiations,Who Wants to Buy a Book of Poems?
"The factories cried, Our son,
our son, we smoke for you!",Gwee Li Sui,Propitiations,Who Wants to Buy a Book of Poems?
"I want to hiss a snake out of a kettle,
drink it like coffee as the steam scatters",Heng Siok Tian,"My City, My Canvas","My City, My Canvas"
"for there is never enough
even when there is no more necessary crisis.",Heng Siok Tian,Mother's Gold,Is My Body A Myth
"the quiet obituaries, subtleties
grace, strength, forbearance

that life has to earn",Ho Poh Fun,rain tree,Katong and Other Poems
"cicada-reined cicada-charged
chilled air labouring to exude
dew falling scant",Ho Poh Fun,cicada-flung dawn,Katong and Other Poems
"far flinging soul dismantling plicks
continual flow of acupuncturing pin pricks",Ho Poh Fun,cicada-flung dawn,Katong and Other Poems
"All my words, someone else earned them.",Jason Wee,Unreliable Evidence,The Monsters Between Us
I asked why/ he slapped during/ He told me I/ was mistaken.,Jason Wee,Unreliable Evidence,The Monsters Between Us
Only this country and not the country before.,Jason Wee,Unreliable Evidence,The Monsters Between Us
Sorrow is a postcard home./ Where do I address it?,Jason Wee,Where Your Archive Is,An Epic of Durable Departures
"First comes the sermon./ Next the ghosts line up/ to shake your hand, one by one.",Jason Wee,Being All Kubler-Ross At Your Wake,An Epic of Durable Departures
"Take me to a coffee shop.
Any coffee shop will do.",Jennifer Anne Champion,Paradise City,A History of Clocks
"Take me to where the grass is green
And the sand uncovered, unrubbered, unprotected
From the children joyfully skinning their knees in your mind.",Jennifer Anne Champion,Paradise City,A History of Clocks
"The work, the life you are carrying inside, is that delicate balancing act between light and air.",Jennifer Anne Champion,Authorial Airship,Caterwaul
"He wants to know why you care so intimately about his pain. Open your bag now. Show, don’t tell him, why.",Jennifer Anne Champion,Authorial Airship,Caterwaul
"inchoate years

between us made combustible by
the debris of someone else’s war",Jerrold Yam,The Liable Age,Chasing Curtained Suns
"No prize on
earth will be equal to dust.",Jerrold Yam,Acquaintance,Scattered Vertebrae
"musnah seluruh tubuh
tinggal
bagai tulang-tulang ikan",Johar Buang,Tulang Tulang Ikan,Dewan Sastera
,,,
,,,
,,,
,,,
For love alone will take a long time dying.,Kirpal Singh,Australian Landscape,Catwalking and the Games We Play
"growth is so swift
rebirth also
gets short shrift",Koh Buck Song,A Brief History of Toa Payoh,A Brief History of Toa Payoh and Other Poems
"how well we spice
life with those lies",Koh Buck Song,Wayang Kulit,The WOrth of Wonder
"I suppose,
triumph without taint,
memory without murder",Koh Buck Song,"Moose-Hunting, Canadian Rockies",The Ocean of Ambition
Loving a man is but a change of gears.,Koh Jee Leong,"April 13, Wednesday",Payday Loans
Men love themselves when they love other men,Koh Jee Leong,"April 13, Wednesday",Payday Loans
"My followers, I am about to turn immortal.",Koh Jee Leong,The Taoist Magician’s Last Address,Equal to the Earth
"Somebody is fucking somebody in a corner.
Everybody juts as if released from stone.",Koh Jee Leong,A Lover's Recourse,Seven Studies for a Self Portrait
"We have become
so health-conscious
the heart
can sometimes be troublesome.",Lee Tzu Pheng,Singapore River,The Brink of an Amen
"cracks may delineate fine forms;
though stained, he can reflect his God",Lee Tzu Pheng,Cathedral Windows,Lambada by Galilee & Other Surprises
"and suddenly the weight of this child
I feel as a sorrow almost too heavy to bear",Lee Tzu Pheng,Seki Shun,"Catching Connections: Poems, Prosexcursions, Crucifictions"
"In time, we learn that all things rise and all things cease.
The world we live in–only leaves, floating on the river.",Leonard Ng,River ghazal,This Mortal World
"November sunset—
twisting through the molten sky
mynahs and tempest",Leonard Ng,Across the Hours of sleeplessness and Waking,Changes and Chances
"Perhaps we’ll meet
In another life
Not half as bad,
When I’ll be a man,
And you, a wife.",Leong Liew Geok,A Middle-Aged Woman Dissuades a Potential Lover,Love is Not Enough
"Though it may be a blessing
That women outlive men,
And singleness is theirs
Again.",Leong Liew Geok,Women Without Men,Women Without Men
"Overhead the announcement
calls for new players to join in at Jurong East,
and it’s time for you to get up and go.",Loh Guan Liang,Musical Chairs,Transparent Strangers
"Neighbours ask if she is moving
and she says she is moving on.",Loh Guan Liang,Neighborhood Watch,Bitter Punch
"thus the raintree fell

gang raped
by three men wearing balaclavas
riding big black well-oiled horses",Madeleine Lee,raintree no. 5,fiftythree/zerothree
"jelutong flowers on the tarmac
like thousands of asterisks",Madeleine Lee,princess,flinging the triplets
each leaf has a different part of the story:,Marc Nair,The Secret Lives of  Leaves,Along the Yellow Line
"But they never thought he would slip through

as a woman, a different kind of detonation.",Marc Nair,Mas Selamat, Postal Code
"when thunder rains
  come slantwise down across the sky,
    their leaves unlatch
      and ply like sampans ",Margaret Leong,Casuarinas in Johore,The Air Above the Tamarinds
"And where the kelong hedges rise
Upon their pliant, bamboo tiles,
The harried waves are crossed into
An endless curve of fishing stiles.",Margaret Leong,Tonight the Moon is Locked,Rivers to Senang 
"dan impianku dipatahkan
oleh tangan-tangan
yang bernama kehidupan",Mohamed Latiff Mohamed,Impian,The Poetry of Singapore
"Aku terlalu kecil di sini
walaupun telah dewasa
segala kenangan
di bumbung atap keluarga",Mohamed Latiff Mohamed,Di kota ini,The Poetry of Singapore
"punya nasib sendiri 
punya takdir sendiri 
di kiri duri di kanan api.",Mohamed Latiff Mohamed,Bangsaku di hari lahirku,The Poetry of Singapore
"Beyond, you tread the clouds
shod with wheels of wind and fire,

and you wait to kill your father,
not become him.",Ng Yi-Sheng,Ne Zha, last boy
"Aeneas by the Merlion
            Alice by the Merlion
Asterix and Obelix by the Merlion",Ng Yi-Sheng,Anthology,Reflecting on the Merlion
"Then one day you go, then we ownself rule,
Then we build this land, then we run this school;
Then we merdeka, then we own the street,
Then we gerek-gerek with our stamping feet;",Ng Yi-Sheng,BTBS,Loud Poems for a Very Obliging Audience
"Let the cikgu cry, let the cher kaobei,
We’re the dangerous ones, boh tua boh suay;",Ng Yi-Sheng,BTBS,Loud Poems for a Very Obliging Audience
"there’s a smell of joss
and the crowd is crunching ritz
something’s about to dislocate",Paul Tan,我是 (i am),Curious Roads
my heart hums like a regular fridge.,Paul Tan,Anxious,Driving Into Rain
"The moonlight filters into my house,
but I do not belong,
neither can I think of a destination.",Pooja Nansi,Listening to Mukesh,Stiletto Scars
"A kiss is not an invasion. It is not merely
an exploration. ",Pooja Nansi,Since you Scoff When I Say you are the Best Kisser I've Ever Met,Love is an Empty Barstool
"I start out with him as gesture
he sprints for the sun
and leaves me to the lapping of my leisure",Robert Yeo,Spring,"Coming Home, Baby"
"The signs are not always where they should be
However; except, of course, Selatan and Utara.
One is always travelling up or down.",Robert Yeo,The Search,"Leaving Home, Mother"
What passing poems for those who feel the heat?,Robert Yeo,A Poem as a Fan,The Best of Robert Yeo
"Jika kutahu air di hulu ‘kan pasang
tidak kutojah deburan kencang",Saeda Buang,"Malang, senda & citra",
"Agar harumnya sepanjang zaman kerana malam mengetuk
tiba kerana malam mengetuk tiba",Saeda Buang,Pustakaku dalam remang senja,
"She feared the iambic rictus
mechanical twitching of a chopper",Shirley Geok-lin Lim,The Trade,No Man’s Grove
"As butchers, surgeons, dancers,
the trade is blood, nerve, and craftiness.",Shirley Geok-lin Lim,The Trade,No Man’s Grove
"Last night in Causeway some were fucked
For power, peace, money, love.",Shirley Geok-lin Lim,City Pastoral,Walking Backwards
"If you cannot learn to love
(yes love) this city
you have no other.",Simon Tay,Singapore Night Song,5
The traffic is the only other animal awake.,Simon Tay,Singapore Night Song,5
"Kita berawal dari tanda tanya 
Kita berakhir dengan tanda tanya ",Sofia Nin,Tanda Tanya,
"entah kenapa semakin dilihat tingkah manusia zaman sekarang 
seakan marga satwa yang tidak tau dari mana asal kandang usulnya ",Sofia Nin,Binatang Jalanan,Puisi Berantakan
"London, some nights, I think the cracks in your tarmac are kind of
     shaped like vaginas.",Stephanie Chan,London Calling,Foreigner Go Home (With Me)
How none of us are truly free until every single one of us is.,Stephanie Chan,You are Six Years Old and She is Teaching You How to Ride a Bicycle,Other Voices Cabaret
"aku mahu terus berpuisi dan berpuisi
biarpun bumi mati sepi. ",Suraidi Sipan,Nyanyi puisi,Debudebu jalanan
"tubuh-tubuh berdarah
dari kepingankepingan hati yang sisa
terus berhijrah dan berkelana
di sini di benua sendiri",Suraidi Sipan,Di sini di benua sendiri,Debudebu jalanan
"like a painting
the poems of the dead
are more precious
",Tan Lixin,Lessons for a Birthday,Keeping Skeletons
"Death is a job,
not blood or flesh
but another story to forget and then
an angry girl tells the stranger
to shut his mouth.",Tan Lixin,Funeral Song,Before We Are Ghosts
"I am alone,
a terminal one at Terminal One,
my bad puns lost on the empty seat

beside me.",Tania de Rozario ,The Walk Back,Tender Delirium
"brave the walk
back past the hall that spells departure
in four different languages, none of which
I can articulate, nor will ever understand.",Tania de Rozario ,The Walk Back,Tender Delirium
"Look at this body that loved you. Watch

as that same love drains out. ",Tania de Rozario ,Making Scars of Skin,Tender Delirium
"Now he hears that the government has decided to put public money into bird-feed, giving them so much to eat that they no longer sing at twilight or move their fattened wings.",Teng Qian Xi,On History,They hear salt crystallising
"As days slide away like streetcars
Along steel networks planned by neither of us.",Teng Qian Xi,Ghazal of Winter,They hear salt crystallising
"Millionaires from the New World with nothing else to do
Wander the Old World like wandering Jews",Teo Poh Leng,F.M.S.R,F.M.S.R. A Poem
"Singapura Lion-City
Wafting odours to the nose
And dust flying to the face
Is a sweatingly hot and disgusting place.",Teo Poh Leng,F.M.S.R,F.M.S.R. A Poem
"Strange, how we discuss death over dinner.",Theophilus Kwek,Departures,They Speak Only Our Mother Tongue
"nothing so flammable as death or debt—
merely the slow heat of companionship",Theophilus Kwek,On History,Giving Grounds
"In all our various tenses, it is the earth
Consumed by sun, devoted and held fast.",Toh Hsien Min,Pivotal,The Enclosure of Love
"My dad
unwrapped it, under the tree, for a boy who
still believed Santa Claus came down the chimney,
even though we had no chimney. ",Toh Hsien Min,Printing Money,Means to an End 
"Hush little baby don’t you cry
Mama’s gonna buy you more more more more",Victoria Lim,Religion,Dreadful
A pig is on fire!,Wong May,Point of View,A Bad Girl's Book of Animals 
"Death, I am
(I am afraid)
Fascinated.",Wong May,Point of View,A Bad Girl's Book of Animals 
"creeping like lizards
           the lostness that     20     years  later has
                                      fetched me here.",Wong May,"Kampong Bahru, 1975",Superstitions
"When you

Came in

              late

I served a dullish

                       dish

                   with relish",Wong May,How I Too Hate Subject Matter,Picasso's Tears
"Too long about the same spell,
wearing it thin, leaves you an evil-smelling,
unwashed prophet railing at bus-stands at indifferent crowds.",Wong Phui Nam,Candles for a Local Osiris,Remembering Grandma and Other Rumours 
"Shut out from sleep, I ask constantly about the hour
but fail to hasten passage of the night.",Wong Phui Nam,Spring Night in the Imperial Chancellery,Ways of Exile 
"ribcage opened, agape for its trail of ants
and shocked by the morning’s fresh, devouring sun. ",Wong Phui Nam,Boars,Against the Wilderness
"dream unfurls upon her, dark-magnificent,
a polythene manta ray
          gliding through her sleep",Yeow Kai Chai,Secret Manta,Secret Manta
The cursor is one of his names. Life is another.,Yeow Kai Chai,August Moon,Pretend I'm Not Here
"Eventually everything
swallows even eventually up.",Yeow Kai Chai,Quarterly Report no. 7: Epiphytes and Vetiver Control,
"After considering the proposition,
I had to tell her I didn’t have a single poem
about mothers.",Yong Shu Hoong,Just an Idea,dowhile 
"what sleep envelopes these islanders, still
unburdened by the shrieks of manic city states.",Yong Shu Hoong,The Key of Songs,Frottage
"there comes a time when I have to approach the library counter
and sort out a moral dilemma that’s neither light nor bearable.",Yong Shu Hoong,Restricted but Artistic,The Viewing Party
"Semua 
bakal menjadi kenangan
yang mana sekarang",Zulfadli Rashid,Sari berita,
"Sedang kita sibuk
menunduk mendongak
anak-anak kita
diculik ombak",Zulfadli Rashid,Dengungan akhir zaman,
"Eunos, 
Tanpa paus
Tetap berarus
Tempat yang tiada tandus",Zulfadli Rashid,Eunos,
"the eunuchs communicate by touch: they say he is
an oyster of an oyster,",Ng Yi-Sheng,Snow White,A Luxury We Cannot Afford
"but I also say—demolish, when I’m dead,our old house, that old road.",Shawn Hoo,2/10/2010,A Luxury We Cannot Afford
"He still
closes his eyes to the roar of
the crowd surging to its feet,
him reaching for her hand.",Sandesh Sambhi,Fever Dream,A Luxury We Cannot Afford
"it is enough to make him think his old rival will emerge
covered in eugenic mucus, come to destroy his legacy.",David Wong,His Herculean State,A Luxury We Cannot Afford
"I’m told waiting is a habit that grows easier
the second time, like reading a poem out loud.",Jing-Jing Lee,Pantoum from a Cul De Sac,A Luxury We Cannot Afford
"It’s like his old hunch,
that great grand theory—the whispers of Marxist,
Marxist, Marxist echoing through the church,
then turning strangely into empty air.",Gilbert Koh,Spectrum / Near the End,A Luxury We Cannot Afford
"What is the likelihood that he’s you? In my mind,
I am, like you, very likely a moving target.",Koh Jee Leong,Likelihood,A Luxury We Cannot Afford
"My memory should be
ubiquitous, vital
as the very air.",Daryl Lim,Last Will,A Luxury We Cannot Afford
"for poetry is not luxurious.
It is simply necessary.",Norashiqin Toh,They got you all wrong,A Luxury We Cannot Afford
"Every night Mrs
got pampered with luxury,
you still dare say me.",Leon Choo,Haiku,A Luxury We Cannot Afford
"I’m glad you didn’t leave. In a game of coming and going nobody ever asks about the ones who are left behind.",Daryl Qilin Yam,Love Letters to H,A Luxury We Cannot Afford
"Look at me, pouting at some vision of you. You’re more concept
 than man H, just as I am more affect theory than girl.",Amanda Lee Koe,Last Night I Dreamt that H Was In Love With Me,A Luxury We Cannot Afford
how many bears have you kissed,Alvin Pang,Obituary,A Luxury We Cannot Afford
"War external foundry I octopus fay
Exclude pontiff oratory runs away",Yeow Kai Chai,Hagiography,A Luxury We Cannot Afford
"Each mute tree will host, in time, a full-throated bird—
Singing its amateur, insolent, version of history.",Alfian Sa'at,The Government of the Self,A Luxury We Cannot Afford
"Haw flake slipped between forefinger
and thumb, smooth as the pages of a used
book",Tse Hao Guang,Deciduous,A Luxury We Cannot Afford
"Scatter me so
I don’t feed the trees.",Daryl Lim,Garden City,A Luxury We Cannot Afford
This Chinese character will take care of you,Sze Yao Tan,管 You,A Luxury We Cannot Afford
"They will continue arresting us
long after our flights from this necropolis,
to become maids
and foreign workers
in other people’s countries.",Laremy Lee,Horrorshow,A Luxury We Cannot Afford
"Some day, when your heirs least
expect it, you will find your will,
sealed like a ballot slip, in the still
secret of this poem.",Felix Cheong,Unaffordable Sonnet,A Luxury We Cannot Afford
"In the event of facelessness, how does one decide
what a headstone represents?",Samuel Lee,Memorial,A Luxury We Cannot Afford
"For who among us have seen him?
Who among us treading water beneath his tower have seen
anything at all?",David Wong,Impossible Biography,A Luxury We Cannot Afford
"The earth returns
our fictions, till once again we plunge
soiled hands into the island’s heart",Theophilus Kwek,Archaeology,A Luxury We Must Afford
"Consent
to my recycling.
You will need height to survive
and I have always been
a natural resource.",Charlene Shepherdson,Cremains,A Luxury We Must Afford
"sorrow is a house you and I
spend all our lives paying for",Marc Nair,Mortgauge,A Luxury We Must Afford
He forgot his PSLE score.,Janice Heng,Mid-Life,A Luxury We Must Afford
"One day, the Satay Man says, “The future of this country lies in its sauce.”",Meiko Ko,The Satay Monologues,A Luxury We Must Afford
"The only photographs in my parents’ house
are of me as a child. You’d think I died
before turning twelve.",Inez Tan,Tyranny,A Luxury We Must Afford
The shrivelled pucker of my pink animal.,Luca Lum,The Last Apartment (A Clouded Colophon),A Luxury We Must Afford
"Death makes us better at mathematics —
or was it painting?",Luca Lum,Grey Literature,A Luxury We Must Afford
"This is what I will talk about
when I talk about the stars.",Daryl Qilin Yam,That I Cannot See,A Luxury We Must Afford
"She doesn’t ask for Sundays off but knows they’re on the table.
She’d rather earn a little more. Baguio bungalow and cable.",Jennifer Anne Champion,She Walks Like A Free Country,A Luxury We Must Afford
"Or just an alternate universe
where Jude Law decided to become
a Chinese teacher.",Melissa Powers,2035,A Luxury We Must Afford
Not an angry yolk amid the arresting white of a sky.,Tan Xiang Yeow,2065,A Luxury We Must Afford
"Life shall again, sustain itself. The harbour
here is sheltered and deep. Send ships.",Amanda Chong,"Notes from a Colonialist, 2065",A Luxury We Must Afford
And once upon a time everyone said development minister was the worst portfolio.,Grace Chua,Going Under,A Luxury We Must Afford
"When asked about the future,
they bought mosquitoes in amber.
A heirloom from another golden age.",David Wong,Augury,A Luxury We Must Afford
"Every minister falls in love with
A cocktail waitress",Lynne Hong,Choice Kingdom,A Luxury We Must Afford
"We forgot that in the
absence of branches
the mynahs that landed
could build no homes",Samantha Toh,The Environmentalist speaks to the Urban Gardener,A Luxury We Must Afford
I want to write “teh” next to “tarik”.,Melissa Powers,"Cap. 341, 1985 Rev. Ed.: Teh Revolution",A Luxury We Must Afford
"As long as I can remember,
this country has always
been building new things.",Faith Christine Lai,We Apologise for the Inconvenience Caused,A Luxury We Must Afford
"Void decks, at last, come to assume the truth
of their name: completely empty, barren.",Rodrigo Dela Pena Jr,Fragments from a Future History,A Luxury We Must Afford
"May we find where the blind go driving, and where the poor say to each other, love, love love,
love love love love love",Daryl Qilin Yam,Funkytown,A Luxury We Must Afford
"Turbine Flyer power station
Tekong nuclear plant location
Jurong Island convert resort
Tuition current largest export",Low Kian Seh,"Report, In Brief",A Luxury We Must Afford
"Perilled people, mythic sewage;
puerile pulau, dollwax dotage.",Ann Ang,Nila Guano,A Luxury We Must Afford
"this is not a safety barrier,
it is the curtain of a hospital ward:
this country needs transfusions to survive",Rohan Naidu,This is not a Singapore poem,A Luxury We Must Afford
"The economy in Hell is expected
To hyperinflate in September.

All ghosts across the realms,
Please vote wisely for your next treasurer.",See Wern Hao,Campaign Message to all Ghost Voters,A Luxury We Must Afford
"Top ranking in global happiness index above Switzerland and Denmark.

Nobody reads poetry",Cyril Wong,Incoming Reports,A Luxury We Must Afford
"We removed the terms of nomenclature one by one. At first race, then gender, then citizenship, until all were equal.",Crispin Rodrigues,Part Un: Eq(ual)ity,A Luxury We Must Afford
The heart is a moonlit ulcer.,Ann Ang,Pro-rated,A Luxury We Must Afford
"Time takes away from vote
the tongue of vaunt",Gerline Lim,Time,A Luxury We Must Afford
"And they saith unto him, Shall we go and buy fiction?
He saith unto them, How many poems have ye?",Dennis Yeo,The Gospel of SG 6:9,A Luxury We Must Afford
"In the country that never was
we will meet in a past
but not the one we remember.",Jason Wee,Days like a Prolonged Parachute after Space Flight,A Luxury We Must Afford
"Can? Or should? Can or should poetry do this?
What passing poems for those who feel the heat?",Robert Yeo,"A Poem as a Fan
For Elaine",Poetry Moves
" it makes you
just as fed up as having to eat
too many mental beaters that
stick in your throat",Lee Tzu Pheng,"“Why is your poetry so normal?”",Poetry Moves
"run your fingers over
the dents and rises in my skin and translate them", Jollin Tan,Being Beautiful,Poetry Moves
"If I knew where we were
I would put us on a map with an X
and ask you to join us. ",Grace Chua,Love in a Foreign Time,Poetry Moves
"I, too, could fall into myself forever,
an Alice going down the rabbit hole.
Eat me. Drink me.",Anurak Saelaow ,Ivory,Poetry Moves
"Nine chwee kuehs will I have there, with space for my bubble tea;
And live alone on my ghee-soaked naan.",Tse Hao Guang ,A Big Pile of Bak Chor Mee,Poetry Moves
"a polythene manta ray
 gliding through her sleep",Yeow Kai Chai,Secret Manta,Poetry Moves
"Read me an unfinished script
of fingerprints. ",Jerrold Yam,Anatomy of the iPhone 6,Poetry Moves
"In visions splendid I see the transit of Venus,
By reef and palm, wild cat falling, bliss",Kirpal Singh,Australian Landscape,Poetry Moves
"Tell me again where home is,
where inhabit all the holy hours,
where someday you will find me.",Aaron Lee,Time Lapse,"Coastlands, 2014"
"It seems my singular task
is to be where I am now.
So joy fills me up, anonymous rain.",Aaron Lee,Peace Like Rivers Falling,"Coastlands, 2014"
"To be forewarned 
is to die a borrowed death
many times over.",Aaron Lee,Folk Tale 2,"Coastlands, 2014"
"We are all of us star-crossed voyagers,
escaping by degrees,
eternally at sea.",Aaron Lee,I Sing the Galactic,"Coastlands, 2014"
"There is light in there, I tell
you. Enigmas and colour shards. Come and find them.",Aaron Lee,"Judas, A Little While Later","Coastlands, 2014"
"Here is a seeming kiss. Burn it if you wish.
Take this apology as kindling for your fury.",Aaron Lee,A Letter to My Unborn Son,"Coastlands, 2014"
"Let it come to rest. Do this today and everyday.
Hope uncurls in your cupped hands.",Aaron Lee,A Tiny Idea,"Coastlands, 2014"
"Adrift in this life boat, we are all too close for comfort.",Aaron Lee,Close Quarters,"Coastlands, 2014"
"The very air is thick. Sing now
you grievous ones, let the light in.",Aaron Lee,Out of Time,"Coastlands, 2014"
"Here is where you live now. Even when
the lines run out and no one remembers.",Aaron Lee,From the Last Letter of Forgetting,"Coastlands, 2014"
"You are the one restless sea
in which I will earn
my death, its own reward.",Aaron Lee,What Calls to Me,"Coastlands, 2014"
"Before the window of dawn
cracks open
there will be time enough
for you and I to speak.",Aaron Lee,Dusk,A Visitation of Sunlight
"Up all night, under the pallid light
fishing for verses.",Aaron Lee,My Galilee,A Visitation of Sunlight
"Dearest, I think
I fear your staying
more than your going.",Aaron Lee,Uncertainties,A Visitation of Sunlight
"Does that moment really exist, when
we know our love has finally failed
and I stay another minute in your kitchen
to finish my sandwich?",Aaron Lee,Examining Incongruities,A Visitation of Sunlight
"You asked me: 
How can you be homesick
for a place
that no longer is?",Aaron Lee,Nostalgia,A Visitation of Sunlight
"all that will be left
are the street-lights disembodied
above the trees, and morning rain
falling lightly over the city.",Aaron Lee,The Way Things Are,A Visitation of Sunlight
